利潤率,記錄數,利潤 (bin),利潤,區域,國家/地區,城市,子類別,客戶名稱,折扣,數量,產品名稱,省/自治區,細分,製造商,訂單 Id,訂單日期,郵寄方式,郵寄日期,銷售額,類別
0.311075427,1,$333.00,$376.60,大洋洲,Australia,Mount Gambier,書架,Eric Murdock,10%,9,"Safco Corner Shelving, Traditional",South Australia,消費者,Safco,IN-2018-34702,2018/9/14,標準級,2018/9/19,"$1,211",傢具
0.288375080,1,$0.00,$94.29,大洋洲,Australia,Mount Gambier,用具,Eric Murdock,10%,7,"Tenex Photo Frame, Duo Pack",South Australia,消費者,Tenex,IN-2018-34702,2018/9/14,標準級,2018/9/19,$327,傢具
0.132275132,1,$0.00,$24.00,大洋洲,Australia,Mount Gambier,用具,Eric Murdock,10%,8,"Rubbermaid Stacking Tray, Black",South Australia,消費者,Rubbermaid,IN-2018-34702,2018/9/14,標準級,2018/9/19,$181,傢具
0.221164021,1,$0.00,$15.68,大洋洲,Australia,Mount Gambier,美術,Eric Murdock,10%,5,"Sanford Highlighters, Blue",South Australia,消費者,Sanford,IN-2018-34702,2018/9/14,標準級,2018/9/19,$71,辦公用品
0.377767480,1,$111.00,$176.09,大洋洲,Australia,Mount Gambier,配件,Eric Murdock,10%,2,"Belkin Router, USB",South Australia,消費者,Belkin,IN-2018-34702,2018/9/14,標準級,2018/9/19,$466,技術
-0.077956090,1,-$111.00,-$75.55,大洋洲,Australia,Mount Gambier,複製器,Eric Murdock,10%,9,"Sharp Personal Copier, Digital",South Australia,消費者,Sharp,IN-2018-34702,2018/9/14,標準級,2018/9/19,$969,技術
0.410906970,1,$0.00,$8.45,大洋洲,Australia,Mount Gambier,繫結器,Eric Murdock,10%,2,"Avery Binder Covers, Recycled",South Australia,消費者,Avery,IN-2018-34702,2018/9/14,標準級,2018/9/19,$21,辦公用品
-0.033533534,1,-$111.00,-$4.02,大洋洲,Australia,Mount Gambier,美術,Eric Murdock,10%,5,"Boston Markers, Easy-Erase",South Australia,消費者,Boston,IN-2018-34702,2018/9/14,標準級,2018/9/19,$120,辦公用品
0.298387097,1,$0.00,$17.76,東南亞,Malaysia,Kota Kinabalu,紙張,Muhammed Lee,0%,4,"Eaton Parchment Paper, Multicolor",Sabah,消費者,Eaton,IN-2017-20996,2017/9/25,標準級,2017/9/29,$60,辦公用品
-0.034397426,1,-$111.00,-$0.83,大洋洲,Australia,Mount Gambier,紙張,Frank Olsen,10%,2,"Eaton Parchment Paper, Premium",South Australia,消費者,Eaton,ID-2017-28682,2017/5/13,一級,2017/5/15,$24,辦公用品
0.366333158,1,$111.00,$150.26,大洋洲,Australia,Mount Gambier,電話,Frank Olsen,10%,6,"Nokia Headset, Cordless",South Australia,消費者,Nokia,ID-2017-28682,2017/5/13,一級,2017/5/15,$410,技術
0.122161945,1,$0.00,$36.48,大洋洲,Australia,Mount Gambier,椅子,Frank Olsen,10%,2,"Hon Swivel Stool, Set of Two",South Australia,消費者,Hon,ID-2017-28682,2017/5/13,一級,2017/5/15,$299,傢具
0.179683757,1,$0.00,$33.75,中亞,India,Raipur,儲存具,Max Engle,0%,3,"Rogers Shelving, Industrial",Rajasthan,消費者,Rogers,IN-2016-78823,2016/9/16,標準級,2016/9/21,$188,辦公用品
0.429651163,1,$111.00,$155.19,中亞,India,Raipur,用具,Max Engle,0%,7,"Advantus Photo Frame, Erganomic",Rajasthan,消費者,Advantus,IN-2016-78823,2016/9/16,標準級,2016/9/21,$361,傢具
0.498881432,1,$0.00,$13.38,中亞,India,Raipur,系固件,Max Engle,0%,2,"Stockwell Push Pins, 12 Pack",Rajasthan,消費者,Stockwell,IN-2016-78823,2016/9/16,標準級,2016/9/21,$27,辦公用品
0.248638838,1,$0.00,$12.33,中亞,India,Raipur,系固件,Max Engle,0%,3,"Stockwell Rubber Bands, Bulk Pack",Rajasthan,消費者,Stockwell,IN-2016-78823,2016/9/16,標準級,2016/9/21,$50,辦公用品
0.409090909,1,$0.00,$14.58,中亞,India,Raipur,系固件,Max Engle,0%,3,"Advantus Push Pins, Assorted Sizes",Rajasthan,消費者,Advantus,IN-2016-78823,2016/9/16,標準級,2016/9/21,$36,辦公用品
0.288590604,1,$0.00,$15.48,中亞,India,Raipur,標籤,Max Engle,0%,6,"Avery File Folder Labels, Alphabetical",Rajasthan,消費者,Avery,IN-2016-78823,2016/9/16,標準級,2016/9/21,$54,辦公用品
-0.666666667,1,-$111.00,-$15.41,大洋洲,Australia,Canberra,配件,Charles Sheldon,40%,1,"SanDisk Mouse, USB",Australian Capital Territory,公司,SanDisk,ID-2018-67952,2018/7/6,標準級,2018/7/10,$23,技術
0.469344609,1,$0.00,$59.94,中亞,India,Varanasi,用具,Clay Rozendal,0%,3,"Deflect-O Door Stop, Erganomic",Uttar Pradesh,總公司,Deflect,IN-2016-21983,2016/8/13,標準級,2016/8/17,$128,傢具
0.421921922,1,$0.00,$25.29,大洋洲,Australia,Bundaberg,美術,Maurice Satty,10%,3,"Stanley Markers, Blue",Queensland,消費者,Stanley,IN-2018-41681,2018/10/4,標準級,2018/10/9,$60,辦公用品
0.269997270,1,$0.00,$59.34,北亞,China,Jingdezhen,用具,Clytie Kelty,0%,2,"Rubbermaid Frame, Black",Jiangxi,消費者,Rubbermaid,IN-2019-32091,2019/7/11,標準級,2019/7/15,$220,傢具
0.06,1,$0.00,$4.32,北亞,China,Jingdezhen,儲存具,Clytie Kelty,0%,3,"Rogers Box, Single Width",Jiangxi,消費者,Rogers,IN-2019-32091,2019/7/11,標準級,2019/7/15,$72,辦公用品
0.344293273,1,$0.00,$65.59,大洋洲,Australia,Brisbane,繫結器,Jasper Cacioppo,10%,4,"Ibico Binding Machine, Durable",Queensland,消費者,BIC,IN-2017-65747,2017/4/11,標準級,2017/4/16,$191,辦公用品
-0.068128089,1,-$111.00,-$0.95,大洋洲,Australia,Sydney,繫結器,Raymond Messe,10%,1,"Acco Binder, Recycled",New South Wales,消費者,Acco,ID-2017-20562,2017/6/5,標準級,2017/6/10,$14,辦公用品
-0.737150293,1,-$111.00,-$6.80,東南亞,Thailand,Bangkok,標籤,Nathan Cano,47%,2,"Smead File Folder Labels, Alphabetical",Bangkok,消費者,Smead,ID-2018-18448,2018/6/18,標準級,2018/6/22,$9,辦公用品
-0.168854523,1,-$111.00,-$5.92,東南亞,Thailand,Bangkok,繫結器,Nathan Cano,17%,7,"Wilson Jones Hole Reinforcements, Durable",Bangkok,消費者,Wilson,ID-2018-18448,2018/6/18,標準級,2018/6/22,$35,辦公用品
-0.076099020,1,-$111.00,-$1.42,東南亞,Thailand,Bangkok,標籤,Nathan Cano,47%,3,"Avery Legal Exhibit Labels, 5000 Label Set",Bangkok,消費者,Avery,ID-2018-18448,2018/6/18,標準級,2018/6/22,$19,辦公用品
0.256505576,1,$0.00,$8.28,北亞,China,Baotou,標籤,Noel Staavos,0%,4,"Novimex File Folder Labels, Alphabetical",Inner Mongolia,公司,Novimex,IN-2019-29753,2019/11/13,標準級,2019/11/19,$32,辦公用品
0.239396118,1,$0.00,$29.97,北亞,China,Baotou,配件,Noel Staavos,0%,3,"Enermax Flash Drive, USB",Inner Mongolia,公司,Enermax,IN-2019-29753,2019/11/13,標準級,2019/11/19,$125,技術
0.369801663,1,$111.00,$208.08,北亞,China,Baotou,儲存具,Noel Staavos,0%,4,"Rogers File Cart, Blue",Inner Mongolia,公司,Rogers,IN-2019-29753,2019/11/13,標準級,2019/11/19,$563,辦公用品
0.348457350,1,$0.00,$40.32,中亞,India,Kanpur,儲存具,Clay Rozendal,0%,7,"Tenex Box, Single Width",Uttar Pradesh,總公司,Tenex,IN-2019-55513,2019/12/9,標準級,2019/12/13,$116,辦公用品
0.018421053,1,$0.00,$0.84,中亞,India,Kanpur,信封,Clay Rozendal,0%,4,"Kraft Clasp Envelope, Security-Tint",Uttar Pradesh,總公司,Kraft,IN-2019-55513,2019/12/9,標準級,2019/12/13,$46,辦公用品
0.129411765,1,$0.00,$6.93,北亞,Japan,Kasugai,美術,Mary Zewe,0%,3,"Binney & Smith Highlighters, Fluorescent",Aichi,公司,Binney,IN-2019-76674,2019/9/14,標準級,2019/9/20,$54,辦公用品
0.419849932,1,$111.00,$147.72,北亞,Japan,Kasugai,椅子,Mary Zewe,0%,4,"SAFCO Steel Folding Chair, Set of Two",Aichi,公司,Safco,IN-2019-76674,2019/9/14,標準級,2019/9/20,$352,傢具
-0.077959577,1,-$111.00,-$6.56,大洋洲,Australia,Mackay,儲存具,Roland Schwarz,10%,3,"Rogers Folders, Industrial",Queensland,公司,Rogers,ID-2018-79964,2018/1/6,一級,2018/1/7,$84,辦公用品
0.015503876,1,$0.00,$0.24,大洋洲,Australia,Canberra,繫結器,Zuschuss Carroll,40%,2,"Avery Binder, Economy",Australian Capital Territory,消費者,Avery,IN-2019-47463,2019/2/28,標準級,2019/3/5,$15,辦公用品
0.208523592,1,$0.00,$8.22,大洋洲,Australia,Melbourne,標籤,Michelle Arnett,10%,4,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",Victoria,總公司,Harbour Creations,IN-2016-42591,2016/11/26,標準級,2016/11/30,$39,辦公用品
-0.191880054,1,-$111.00,-$5.47,東南亞,Thailand,Bangkok,紙張,Frank Carlisle,47%,4,"Xerox Memo Slips, Recycled",Bangkok,總公司,Xerox,ID-2019-17657,2019/6/25,標準級,2019/6/30,$28,辦公用品
0.229877515,1,$0.00,$31.53,東南亞,Cambodia,Phnom Penh,椅子,Patrick Gardner,0%,1,"SAFCO Rocking Chair, Set of Two",Phnom Penh,消費者,Safco,IN-2018-59755,2018/4/27,二級,2018/4/30,$137,傢具
0.029989730,1,$0.00,$39.42,東南亞,Cambodia,Phnom Penh,書架,Patrick Gardner,0%,3,"Safco Classic Bookcase, Traditional",Phnom Penh,消費者,Safco,IN-2018-59755,2018/4/27,二級,2018/4/30,"$1,314",傢具
-0.193344808,1,-$111.00,-$8.09,東南亞,Indonesia,Yogyakarta,機器,Harry Greene,17%,1,"Panasonic Calculator, Durable",Yogyakarta,消費者,Panasonic,ID-2016-74721,2016/5/5,一級,2016/5/6,$42,技術
-0.398274097,1,-$111.00,-$32.68,東南亞,Indonesia,Yogyakarta,系固件,Harry Greene,47%,8,"Stockwell Clamps, Metal",Yogyakarta,消費者,Stockwell,ID-2016-74721,2016/5/5,一級,2016/5/6,$82,辦公用品
0.011541014,1,$0.00,$0.64,東南亞,Indonesia,Yogyakarta,器具,Harry Greene,17%,1,"Cuisinart Blender, Red",Yogyakarta,消費者,Cuisinart,ID-2016-74721,2016/5/5,一級,2016/5/6,$56,辦公用品
0.339207048,1,$0.00,$9.24,北亞,China,Shanghai,系固件,Henry MacAllister,0%,2,"Stockwell Paper Clips, Bulk Pack",Shanghai,消費者,Stockwell,IN-2019-60476,2019/11/3,標準級,2019/11/7,$27,辦公用品
0.079268293,1,$0.00,$3.90,北亞,China,Shanghai,系固件,Henry MacAllister,0%,5,"Stockwell Staples, 12 Pack",Shanghai,消費者,Stockwell,IN-2019-60476,2019/11/3,標準級,2019/11/7,$49,辦公用品
0.399350649,1,$0.00,$73.80,北亞,China,Shanghai,信封,Henry MacAllister,0%,5,"Cameo Mailers, Recycled",Shanghai,消費者,Cameo,IN-2019-60476,2019/11/3,標準級,2019/11/7,$185,辦公用品
0.488888889,1,$0.00,$13.20,北亞,China,Shanghai,繫結器,Henry MacAllister,0%,2,"Cardinal Binder Covers, Durable",Shanghai,消費者,Cardinal,IN-2019-60476,2019/11/3,標準級,2019/11/7,$27,辦公用品
0.279661017,1,$0.00,$13.86,北亞,China,Shanghai,美術,Henry MacAllister,0%,2,"Stanley Pencil Sharpener, Fluorescent",Shanghai,消費者,Stanley,IN-2019-60476,2019/11/3,標準級,2019/11/7,$50,辦公用品
0.08,1,$0.00,$11.16,北亞,China,Taiyuan,電話,Bill Eplett,0%,1,"Apple Signal Booster, Cordless",Shanxi,總公司,Apple,IN-2017-60371,2017/6/28,一級,2017/6/30,$140,技術
0.099858857,1,$0.00,$33.96,北亞,China,Taiyuan,複製器,Bill Eplett,0%,2,"Sharp Fax and Copier, Color",Shanxi,總公司,Sharp,IN-2017-60371,2017/6/28,一級,2017/6/30,$340,技術
0.167512690,1,$0.00,$1.98,東南亞,Malaysia,Kuching,繫結器,Chris Selesnick,0%,2,"Avery Hole Reinforcements, Durable",Sarawak,公司,Avery,IN-2019-57410,2019/10/17,標準級,2019/10/23,$12,辦公用品
0.449843260,1,$111.00,$129.15,東南亞,Malaysia,Kuching,儲存具,Chris Selesnick,0%,5,"Fellowes Trays, Single Width",Sarawak,公司,Fellowes,IN-2019-57410,2019/10/17,標準級,2019/10/23,$287,辦公用品
0.289731051,1,$0.00,$7.11,東南亞,Malaysia,Kuching,信封,Chris Selesnick,0%,1,"Cameo Peel and Seal, with clear poly window",Sarawak,公司,Cameo,IN-2019-57410,2019/10/17,標準級,2019/10/23,$25,辦公用品
-0.010797538,1,-$111.00,-$1.73,東南亞,Indonesia,Jakarta,書架,Julie Creighton,7%,1,"Bush Floating Shelf Set, Pine",Jakarta,公司,Bush,ID-2017-10230,2017/7/7,一級,2017/7/10,$161,傢具
-0.020633344,1,-$111.00,-$0.34,東南亞,Indonesia,Jakarta,標籤,Julie Creighton,47%,3,"Hon Removable Labels, 5000 Label Set",Jakarta,公司,Hon,ID-2017-10230,2017/7/7,一級,2017/7/10,$16,辦公用品
-0.339622642,1,-$111.00,-$3.78,東南亞,Indonesia,Jakarta,信封,Julie Creighton,47%,1,"Cameo Peel and Seal, Set of 50",Jakarta,公司,Cameo,ID-2017-10230,2017/7/7,一級,2017/7/10,$11,辦公用品
0.385478422,1,$0.00,$63.49,東南亞,Indonesia,Jambi,繫結器,Liz Carlisle,17%,7,"Wilson Jones 3-Hole Punch, Recycled",Jambi,消費者,Wilson,IN-2018-72859,2018/5/17,標準級,2018/5/21,$165,辦公用品
0.468899522,1,$0.00,$2.94,中亞,India,Chennai,標籤,Amy Cox,0%,1,"Novimex Round Labels, Laser Printer Compatible",Tamil Nadu,消費者,Novimex,IN-2019-13597,2019/11/3,標準級,2019/11/7,$6,辦公用品
0.339977477,1,$888.00,$905.70,中亞,India,Chennai,桌子,Amy Cox,0%,5,"Hon Wood Table, Fully Assembled",Tamil Nadu,消費者,Hon,IN-2019-13597,2019/11/3,標準級,2019/11/7,"$2,664",傢具
-0.328852375,1,-$111.00,-$109.94,東南亞,Indonesia,Depok,椅子,Heather Kirkland,27%,1,"Novimex Executive Leather Armchair, Black",Jawa Barat,公司,Novimex,ID-2016-36011,2016/1/26,一級,2016/1/27,$334,傢具
